0.05,0.1,0.2,0.25,0.5,0.75,0.85,AUC,Accuracy,Model,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.0779911177759 (0.0100763709106),0.0806704034722 (0.0128318148063),0.0575859409765 (0.0364114794084),0.0508515601769 (0.0429068355725),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.577005083088 (0.00637866258037),0.93316 (0.00160518603975),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=1e-05,
          verbose=0, warm_start=False)",0.670172857763 (0.270647694229),0.438094569366 (0.309120103574),0.181853199837 (0.221913102733),0.108269497518 (0.155215085828),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.133541125482 (0.00814826358246),0.115437336764 (0.0518312545996),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00298643112183 (5.15083462354e-05),4.54783978462 (0.0189468627563)
0.0778352721188 (0.0101695700664),0.0772726142405 (0.0175534572312),0.0574263581707 (0.0359689797715),0.0507214358664 (0.0427200914001),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.57690265845 (0.00638618757741),0.93316 (0.00160518603975),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=0.001,
          verbose=0, warm_start=False)",0.670130404223 (0.275361699488),0.437387810642 (0.31195763643),0.183805194348 (0.226189148455),0.10899696258 (0.156803378808),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.132910597463 (0.00816025520526),0.113969762067 (0.0536509287022),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00314126014709 (0.000109983666346),2.60852556229 (0.818441435291)
0.0547663154143 (0.0275568584017),0.042138097577 (0.034617950576),0.0279072541076 (0.0343242355881),0.0323990835544 (0.0409532832914),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.527477791934 (0.0155936012154),0.93316 (0.00160518603975),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=1, verbose=0,
          warm_start=False)",0.679281069891 (0.401803250007),0.495611472892 (0.445075841132),0.260913909482 (0.387728314678),0.206627122386 (0.394639289708),0.0 (0.0),0.0 (0.0),0.0 (0.0),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00314054489136 (6.78565580404e-05),0.0691957950592 (0.00100901669233)
0.0779876209194 (0.0100806231194),0.0806721725265 (0.0128324772275),0.0575954047465 (0.0364178177176),0.05084387812 (0.0429003349798),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.57700508946 (0.00637841916788),0.93316 (0.00160518603975),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=1e-05,
          verbose=0, warm_start=False)",0.670172857763 (0.270647694229),0.438094569366 (0.309120103574),0.181853199837 (0.221913102733),0.108269497518 (0.155215085828),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.133535044854 (0.00815499175861),0.115439783098 (0.0518325153271),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.0031138420105 (0.000101760066058),4.44044957161 (0.144475968203)
0.077838169668 (0.0101673409783),0.0772682429733 (0.0175509608467),0.0574215130285 (0.0359644508919),0.0507195538074 (0.0427185057805),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.576904165707 (0.00638567883102),0.93316 (0.00160518603975),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=0.001,
          verbose=0, warm_start=False)",0.670130404223 (0.275361699488),0.437387810642 (0.31195763643),0.183805194348 (0.226189148455),0.10899696258 (0.156803378808),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.132915402687 (0.00815702306834),0.113963393268 (0.0536467376197),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00318298339844 (0.000123767087078),2.6141828537 (0.813186294214)
0.0546725625824 (0.0275110403737),0.0413632575603 (0.0338714994058),0.0335093392255 (0.0313146225947),0.0314360981056 (0.0393794300979),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.527781266124 (0.0163556053708),0.93316 (0.00160518603975),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=1, verbose=0,
          warm_start=False)",0.688368970544 (0.399307150597),0.526098331301 (0.448026441147),0.255786030315 (0.387205936912),0.202853924427 (0.392526224218),0.0 (0.0),0.0 (0.0),0.0 (0.0),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00313243865967 (0.000108442729637),0.0674554347992 (0.0011172853416)
0.0779888069061 (0.0100800736175),0.0806739419469 (0.0128331407274),0.057594243134 (0.03641704571),0.0508515601769 (0.0429068355725),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.577005515118 (0.0063789537042),0.93316 (0.00160518603975),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=1e-05,
          verbose=0, warm_start=False)",0.670172857763 (0.270647694229),0.438094569366 (0.309120103574),0.181853199837 (0.221913102733),0.108269497518 (0.155215085828),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.13353706529 (0.00815543715975),0.115442229852 (0.051833776703),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00315895080566 (0.00010473504304),4.42016205788 (0.0916780066433)
0.0778547224566 (0.0101525583022),0.077251715188 (0.0175360117583),0.0574215130285 (0.0359644508919),0.050737489949 (0.0427336279213),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.576903997784 (0.00638458042968),0.93316 (0.00160518603975),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=0.001,
          verbose=0, warm_start=False)",0.670130404223 (0.275361699488),0.437387810642 (0.31195763643),0.183805194348 (0.226189148455),0.109100002251 (0.157002265173),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.132943546621 (0.00813837190197),0.113944432577 (0.0536373962048),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00318403244019 (8.6839941065e-05),2.51765604019 (0.810627778763)
0.0546197302671 (0.0274835101398),0.0412346625178 (0.0337526593893),0.0420799165797 (0.0344935207086),0.0317772562789 (0.0399649819805),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.527977310312 (0.0163057952326),0.93316 (0.00160518603975),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=1, verbose=0,
          warm_start=False)",0.690059881052 (0.398646487761),0.53204391495 (0.44948575073),0.25493023785 (0.386942721936),0.20389669587 (0.395085531197),0.0 (0.0),0.0 (0.0),0.0 (0.0),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00310087203979 (0.000100754010285),0.0690687656403 (0.000574452585882)
0.0779916905775 (0.0100780808563),0.0806704034722 (0.0128318148063),0.0575859409765 (0.0364114794084),0.05084387812 (0.0429003349798),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.577004584618 (0.00637884399702),0.93316 (0.00160518603975),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=1e-05,
          verbose=0, warm_start=False)",0.670172857763 (0.270647694229),0.438094569366 (0.309120103574),0.181853199837 (0.221913102733),0.108269497518 (0.155215085828),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.133541850847 (0.00815298514328),0.115437336764 (0.0518312545996),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00338215827942 (0.000427983448127),4.71751179695 (0.425371057835)
0.0778415605408 (0.0101611489133),0.0772627319012 (0.0175459743151),0.0574237576419 (0.0359659305826),0.0507214358664 (0.0427200914001),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.576904007568 (0.00638569884047),0.93316 (0.00160518603975),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=0.001,
          verbose=0, warm_start=False)",0.670130404223 (0.275361699488),0.437387810642 (0.31195763643),0.183805194348 (0.226189148455),0.10899696258 (0.156803378808),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.132921584445 (0.00814594524188),0.11395707154 (0.0536436220559),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00312442779541 (0.000164493988585),2.52434577942 (0.776423024537)
0.0549024676601 (0.0276521090933),0.0422120914955 (0.034692059581),0.0281897415243 (0.0347119302356),0.0299871829532 (0.037243642451),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.527088701137 (0.0155384363451),0.93316 (0.00160518603975),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='sag', tol=1, verbose=0,
          warm_start=False)",0.668375368529 (0.408548031112),0.48947960438 (0.44107806661),0.246676621347 (0.387151522857),0.20028841128 (0.39575198493),0.0 (0.0),0.0 (0.0),0.0 (0.0),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00318574905396 (9.33311750896e-05),0.0677487850189 (0.00350159380069)
0.06685385675 (0.0016043504986),0.066860500676 (0.00160485944656),0.0668790774987 (0.0015894660511),0.0668703907706 (0.00159873770257),0.0822811427162 (0.00931258295033),0.0 (0.0),0.0 (0.0),0.577370510991 (0.00691021272727),0.592693333333 (0.27630309155),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=1, penalty='l2', random_state=None,
          solver='sag', tol=1e-05, verbose=0, warm_start=False)",0.999801002654 (0.000243864611187),0.999600115625 (0.000200296717504),0.998903007601 (0.000488409342435),0.998002870155 (0.000632423764933),0.459626280387 (0.329838172095),0.0 (0.0),0.0 (0.0),0.125323175952 (0.00281967038328),0.125333288554 (0.00282090340244),0.125360504516 (0.00279309443206),0.125338132637 (0.0028098810746),0.116257384644 (0.0393037902455),nan (nan),nan (nan),0.00317416191101 (0.000204573566553),4.47251338959 (0.113308170091)
0.0702125453119 (0.00426112603438),0.0706906245098 (0.00943559093849),0.0761278955378 (0.0482991819215),0.019512195122 (0.0390243902439),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.521362653304 (0.0209951249184),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=20, p=2,
           weights='uniform')",0.749102385447 (0.183460310098),0.416205265167 (0.178093654164),0.0109152002388 (0.0109379731776),0.000396432111001 (0.000792864222002),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.127640841148 (0.00788892987195),0.115790767044 (0.0263035523659),0.0167459505124 (0.015617956276),nan (nan),nan (nan),nan (nan),nan (nan),1.46928782463 (0.372579642665),0.287146234512 (0.0471477670746)
0.0702125453119 (0.00426112603438),0.0706906245098 (0.00943559093849),0.0761278955378 (0.0482991819215),0.019512195122 (0.0390243902439),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.521362653304 (0.0209951249184),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=20, p=2,
           weights='uniform')",0.749102385447 (0.183460310098),0.416205265167 (0.178093654164),0.0109152002388 (0.0109379731776),0.000396432111001 (0.000792864222002),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.127640841148 (0.00788892987195),0.115790767044 (0.0263035523659),0.0167459505124 (0.015617956276),nan (nan),nan (nan),nan (nan),nan (nan),1.77428898811 (0.468935359406),0.279552125931 (0.0477950317065)
0.0700173596283 (0.00839680296981),0.0681388890123 (0.00897355187832),0.044312986965 (0.0326838644751),0.2 (0.4),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.521565591233 (0.0204362791425),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=20, p=2,
           weights='distance')",0.562464880921 (0.226783935083),0.251840769745 (0.124595958568),0.00495109141071 (0.00822025501655),9.91080277502e-05 (0.0001982160555),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.121516299437 (0.0213342446256),0.100321341831 (0.0277800626946),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.47108020782 (0.370632958271),0.283694458008 (0.049806933091)
0.0700173596283 (0.00839680296981),0.0681388890123 (0.00897355187832),0.044312986965 (0.0326838644751),0.2 (0.4),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.521565591233 (0.0204362791425),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=20, p=2,
           weights='distance')",0.562464880921 (0.226783935083),0.251840769745 (0.124595958568),0.00495109141071 (0.00822025501655),9.91080277502e-05 (0.0001982160555),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.121516299437 (0.0213342446256),0.100321341831 (0.0277800626946),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.80159277916 (0.493944418008),0.277976560593 (0.0499767085787)
0.0718658496192 (0.00479810004376),0.0790330248251 (0.00940591558442),0.0666666666667 (0.133333333333),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.537466561169 (0.0210093751521),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=50, p=2,
           weights='uniform')",0.677931141714 (0.182981228315),0.247953377731 (0.144398136644),9.91080277502e-05 (0.0001982160555),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.12872579939 (0.00826661989301),0.112581125141 (0.0288324809048),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),1.93174147606 (0.447938224752),0.290038347244 (0.0555030720383)
0.0718658496192 (0.00479810004376),0.0790330248251 (0.00940591558442),0.0666666666667 (0.133333333333),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.537466561169 (0.0210093751521),0.93316 (0.00160518603975),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=50, p=2,
           weights='uniform')",0.677931141714 (0.182981228315),0.247953377731 (0.144398136644),9.91080277502e-05 (0.0001982160555),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.12872579939 (0.00826661989301),0.112581125141 (0.0288324809048),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),2.23351340294 (0.544271161681),0.278029870987 (0.0509127906707)
